"relyr" "recyr" "relarea" "recarea" "lrel" "T" "R"
1996 1997 1 1 4 2 0
1996 1998 1 1 4 2 0
1996 1999 1 1 4 2 0
1998 1999 1 1 4 7 0
1996 2000 1 1 4 2 0
1998 2000 1 1 4 7 0
1996 2001 1 1 4 2 0
1998 2001 1 1 4 7 0
2000 2001 1 1 4 12 0
1996 2002 1 1 4 2 0
1998 2002 1 1 4 7 0
2000 2002 1 1 4 12 0
1996 2003 1 1 4 2 0
1998 2003 1 1 4 7 0
2000 2003 1 1 4 12 0
1996 2004 1 1 4 2 0
1998 2004 1 1 4 7 0
2000 2004 1 1 4 12 0
1996 2005 1 1 4 2 0
1998 2005 1 1 4 7 0
2000 2005 1 1 4 12 0
1996 2006 1 1 4 2 0
1998 2006 1 1 4 7 0
2000 2006 1 1 4 12 0
1996 2007 1 1 4 2 0
1998 2007 1 1 4 7 0
2000 2007 1 1 4 12 0
1996 2008 1 1 4 2 0
1998 2008 1 1 4 7 0
2000 2008 1 1 4 12 0
1996 2009 1 1 4 2 0
1998 2009 1 1 4 7 0
2000 2009 1 1 4 12 0
1996 2010 1 1 4 2 0
1998 2010 1 1 4 7 0
2000 2010 1 1 4 12 0
1996 2011 1 1 4 2 0
1998 2011 1 1 4 7 0
2000 2011 1 1 4 12 0
1996 2012 1 1 4 2 0
1998 2012 1 1 4 7 0
2000 2012 1 1 4 12 0
1996 2013 1 1 4 2 0
1998 2013 1 1 4 7 0
2000 2013 1 1 4 12 0
1996 2014 1 1 4 2 0
1998 2014 1 1 4 7 0
2000 2014 1 1 4 12 0
1996 2015 1 1 4 2 0
1998 2015 1 1 4 7 0
2000 2015 1 1 4 12 0
1996 2016 1 1 4 2 0
1998 2016 1 1 4 7 0
2000 2016 1 1 4 12 0
1996 2017 1 1 4 2 0
1998 2017 1 1 4 7 0
2000 2017 1 1 4 12 0
1996 2018 1 1 4 2 0
1998 2018 1 1 4 7 0
2000 2018 1 1 4 12 0
1996 2019 1 1 4 2 0
1998 2019 1 1 4 7 0
2000 2019 1 1 4 12 0
1996 2020 1 1 4 2 0
1998 2020 1 1 4 7 0
2000 2020 1 1 4 12 0
1995 1996 2 1 4 1 0
1995 1997 2 1 4 1 0
1995 1998 2 1 4 1 0
1995 1999 2 1 4 1 0
1998 1999 2 1 4 7 0
1995 2000 2 1 4 1 0
1998 2000 2 1 4 7 0
1995 2001 2 1 4 1 0
1998 2001 2 1 4 7 0
2000 2001 2 1 4 3 0
1995 2002 2 1 4 1 0
1998 2002 2 1 4 7 0
2000 2002 2 1 4 3 0
1995 2003 2 1 4 1 0
1998 2003 2 1 4 7 0
2000 2003 2 1 4 3 0
1995 2004 2 1 4 1 0
1998 2004 2 1 4 7 0
2000 2004 2 1 4 3 0
1995 2005 2 1 4 1 0
1998 2005 2 1 4 7 0
2000 2005 2 1 4 3 0
1995 2006 2 1 4 1 0
1998 2006 2 1 4 7 0
2000 2006 2 1 4 3 0
1995 2007 2 1 4 1 0
1998 2007 2 1 4 7 0
2000 2007 2 1 4 3 0
1995 2008 2 1 4 1 0
1998 2008 2 1 4 7 0
2000 2008 2 1 4 3 0
1995 2009 2 1 4 1 0
1998 2009 2 1 4 7 0
2000 2009 2 1 4 3 0
1995 2010 2 1 4 1 0
1998 2010 2 1 4 7 0
2000 2010 2 1 4 3 0
1995 2011 2 1 4 1 0
1998 2011 2 1 4 7 0
2000 2011 2 1 4 3 0
1995 2012 2 1 4 1 0
1998 2012 2 1 4 7 0
2000 2012 2 1 4 3 0
1995 2013 2 1 4 1 0
1998 2013 2 1 4 7 0
2000 2013 2 1 4 3 0
1995 2014 2 1 4 1 0
1998 2014 2 1 4 7 0
2000 2014 2 1 4 3 0
1995 2015 2 1 4 1 0
1998 2015 2 1 4 7 0
2000 2015 2 1 4 3 0
1995 2016 2 1 4 1 0
1998 2016 2 1 4 7 0
2000 2016 2 1 4 3 0
1995 2017 2 1 4 1 0
1998 2017 2 1 4 7 0
2000 2017 2 1 4 3 0
1995 2018 2 1 4 1 0
1998 2018 2 1 4 7 0
2000 2018 2 1 4 3 0
1995 2019 2 1 4 1 0
1998 2019 2 1 4 7 0
2000 2019 2 1 4 3 0
1995 2020 2 1 4 1 0
1998 2020 2 1 4 7 0
2000 2020 2 1 4 3 0
1996 1997 1 2 4 2 0
1996 1998 1 2 4 2 0
1996 1999 1 2 4 2 0
1998 1999 1 2 4 7 0
1996 2000 1 2 4 2 0
1998 2000 1 2 4 7 0
1996 2001 1 2 4 2 0
1998 2001 1 2 4 7 0
2000 2001 1 2 4 12 0
1996 2002 1 2 4 2 0
1998 2002 1 2 4 7 0
2000 2002 1 2 4 12 0
1996 2003 1 2 4 2 0
1998 2003 1 2 4 7 0
2000 2003 1 2 4 12 0
1996 2004 1 2 4 2 0
1998 2004 1 2 4 7 0
2000 2004 1 2 4 12 0
1996 2005 1 2 4 2 0
1998 2005 1 2 4 7 0
2000 2005 1 2 4 12 0
1996 2006 1 2 4 2 0
1998 2006 1 2 4 7 0
2000 2006 1 2 4 12 0
1996 2007 1 2 4 2 0
1998 2007 1 2 4 7 0
2000 2007 1 2 4 12 0
1996 2008 1 2 4 2 0
1998 2008 1 2 4 7 0
2000 2008 1 2 4 12 0
1996 2009 1 2 4 2 0
1998 2009 1 2 4 7 0
2000 2009 1 2 4 12 0
1996 2010 1 2 4 2 0
1998 2010 1 2 4 7 0
2000 2010 1 2 4 12 0
1996 2011 1 2 4 2 0
1998 2011 1 2 4 7 0
2000 2011 1 2 4 12 0
1996 2012 1 2 4 2 0
1998 2012 1 2 4 7 0
2000 2012 1 2 4 12 0
1996 2013 1 2 4 2 0
1998 2013 1 2 4 7 0
2000 2013 1 2 4 12 0
1996 2014 1 2 4 2 0
1998 2014 1 2 4 7 0
2000 2014 1 2 4 12 0
1996 2015 1 2 4 2 0
